Generation,Min,Max,Mean,Evals
Trial 0 final result: after 50000 generations the shortest path is: 803
Trial 0 Shortest path: 45, 27, 52, 34, 46, 4, 75, 76, 68, 6, 51, 17, 58, 10, 72, 39, 9, 40, 12, 26, 7, 35, 14, 59, 19, 67, 23, 56, 41, 42, 64, 43, 49, 24, 18, 50, 63, 22, 28, 61, 69, 71, 60, 70, 20, 36, 47, 21, 74, 48, 29, 30, 2, 62, 73, 33, 16, 3, 32, 38, 54, 13, 57, 15, 37, 5, 8, 53, 11, 66, 65, 31, 55, 25, 44, 
Trial 0 begin summary section
843,1641,941,1373.03,0
844,1655,941,1378.81,0
845,1641,941,1368.79,0
846,1666,941,1379.42,0
847,1650,941,1382.06,0
848,1688,941,1398.84,0
849,1672,941,1414.99,0
850,1700,941,1410.06,0
851,1693,941,1391.9,0
852,1647,941,1370.97,0
853,1688,941,1376.2,0
854,1689,941,1372.6,0
855,1671,941,1346.37,0
856,1628,941,1350.63,0
857,1632,941,1355.1,0
858,1640,941,1361.01,0
859,1663,941,1346.32,0
860,1685,941,1366.62,0
861,1698,941,1358.69,0
862,1803,941,1370.81,0
863,1772,941,1363.48,0
864,1763,941,1369.85,0
865,1734,941,1371.44,0
866,1720,941,1386.8,0
867,1725,941,1379.31,0
868,1685,941,1381.27,0
869,1700,941,1369.85,0
